seed,fold,specialty,mode,empirical_probability,baseline_probability,outcome,empirical_brier,baseline_brier
313,0,DECEPTION_ANALYST,DIFFUSION,0.391304347826087,0.22402597402597402,0,0.15311909262759926,0.05018763703828639
313,0,BOUNDARY_HUNTER,AR,0.28,0.22402597402597402,0,0.07840000000000001,0.05018763703828639
313,0,ASSUMPTION_HUNTER,DIFFUSION,0.23076923076923078,0.22402597402597402,0,0.053254437869822494,0.05018763703828639
313,0,MODEL_KILLER,DIFFUSION,0.3076923076923077,0.22402597402597402,0,0.09467455621301776,0.05018763703828639
313,0,SHASE,DIFFUSION,0.5,0.22402597402597402,0,0.25,0.05018763703828639
313,0,COUNTERFACTUAL,DIFFUSION,0.22857142857142856,0.22402597402597402,0,0.05224489795918367,0.05018763703828639
313,0,UNCERTAINTY_CARTOGRAPHER,DIFFUSION,0.5,0.22402597402597402,0,0.25,0.05018763703828639
313,0,ANOMALY_HUNTER,DIFFUSION,0.23529411764705882,0.22402597402597402,1,0.5847750865051903,0.6021356889863384
313,0,SYNTHESIZER,AR,0.25,0.22402597402597402,0,0.0625,0.05018763703828639
313,0,ASSUMPTION_HUNTER,DIFFUSION,0.23076923076923078,0.22402597402597402,0,0.053254437869822494,0.05018763703828639
313,0,CAUSALITY,AR,0.21428571428571427,0.22402597402597402,0,0.04591836734693877,0.05018763703828639
313,0,NOVELTY_FORGE,DIFFUSION,0.30434782608695654,0.22402597402597402,0,0.09262759924385634,0.05018763703828639
313,0,MEMORY_ANALYST,AR,0.34375,0.22402597402597402,0,0.1181640625,0.05018763703828639
313,0,RED_TEAM,AR,0.1,0.22402597402597402,0,0.010000000000000002,0.05018763703828639
313,0,SYNTHESIZER,AR,0.25,0.22402597402597402,0,0.0625,0.05018763703828639
313,0,ASSUMPTION_HUNTER,DIFFUSION,0.23076923076923078,0.22402597402597402,0,0.053254437869822494,0.05018763703828639
313,0,EVIDENCE_FORENSICS,AR,0.1875,0.22402597402597402,0,0.03515625,0.05018763703828639
313,0,ANOMALY_HUNTER,AR,0.07142857142857142,0.22402597402597402,0,0.00510204081632653,0.05018763703828639
313,0,MODEL_KILLER,AR,0.20833333333333334,0.22402597402597402,0,0.04340277777777778,0.05018763703828639
313,0,SHASE,DIFFUSION,0.5,0.22402597402597402,0,0.25,0.05018763703828639
313,0,COUNTERFACTUAL,DIFFUSION,0.22857142857142856,0.22402597402597402,0,0.05224489795918367,0.05018763703828639
313,0,BOUNDARY_HUNTER,AR,0.28,0.22402597402597402,0,0.07840000000000001,0.05018763703828639
313,0,UNCERTAINTY_CARTOGRAPHER,AR,0.3170731707317073,0.22402597402597402,0,0.10053539559785842,0.05018763703828639
313,0,SYNTHESIZER,DIFFUSION,0.16,0.22402597402597402,0,0.0256,0.05018763703828639
313,0,ASSUMPTION_HUNTER,DIFFUSION,0.23076923076923078,0.22402597402597402,0,0.053254437869822494,0.05018763703828639
313,0,CAUSALITY,DIFFUSION,0.25,0.22402597402597402,0,0.0625,0.05018763703828639
77,1,SHASE,AR,0.45161290322580644,0.21900161030595813,1,0.3007284079084287,0.6099584847046865
77,1,MEMORY_ANALYST,DIFFUSION,0.4074074074074074,0.21900161030595813,1,0.3511659807956104,0.6099584847046865
77,1,COUNTERFACTUAL,DIFFUSION,0.2857142857142857,0.21900161030595813,0,0.08163265306122448,0.047961705316602744
77,1,ANOMALY_HUNTER,AR,0.07407407407407407,0.21900161030595813,0,0.0054869684499314125,0.047961705316602744
77,1,UNCERTAINTY_CARTOGRAPHER,AR,0.3409090909090909,0.21900161030595813,1,0.4344008264462811,0.6099584847046865
77,1,DECEPTION_ANALYST,DIFFUSION,0.3076923076923077,0.21900161030595813,1,0.4792899408284023,0.6099584847046865
77,1,MODEL_KILLER,DIFFUSION,0.2857142857142857,0.21900161030595813,0,0.08163265306122448,0.047961705316602744
77,1,UNCERTAINTY_CARTOGRAPHER,DIFFUSION,0.5,0.21900161030595813,1,0.25,0.6099584847046865
77,1,SHASE,AR,0.45161290322580644,0.21900161030595813,1,0.3007284079084287,0.6099584847046865
77,1,NOVELTY_FORGE,AR,0.13793103448275862,0.21900161030595813,1,0.7431629013079666,0.6099584847046865
77,1,BOUNDARY_HUNTER,DIFFUSION,0.3333333333333333,0.21900161030595813,1,0.44444444444444453,0.6099584847046865
77,1,CAUSALITY,DIFFUSION,0.21428571428571427,0.21900161030595813,0,0.04591836734693877,0.047961705316602744
77,1,ASSUMPTION_HUNTER,AR,0.17647058823529413,0.21900161030595813,0,0.031141868512110732,0.047961705316602744
77,1,UNCERTAINTY_CARTOGRAPHER,AR,0.3409090909090909,0.21900161030595813,0,0.1162190082644628,0.047961705316602744
77,1,SHASE,AR,0.45161290322580644,0.21900161030595813,0,0.2039542143600416,0.047961705316602744
77,1,NOVELTY_FORGE,DIFFUSION,0.42105263157894735,0.21900161030595813,0,0.17728531855955676,0.047961705316602744
77,1,BOUNDARY_HUNTER,AR,0.21739130434782608,0.21900161030595813,1,0.612476370510397,0.6099584847046865
77,1,DECEPTION_ANALYST,AR,0.3076923076923077,0.21900161030595813,0,0.09467455621301776,0.047961705316602744
77,1,MEMORY_ANALYST,DIFFUSION,0.4074074074074074,0.21900161030595813,1,0.3511659807956104,0.6099584847046865
77,1,SYNTHESIZER,DIFFUSION,0.12,0.21900161030595813,0,0.0144,0.047961705316602744
77,1,COUNTERFACTUAL,DIFFUSION,0.2857142857142857,0.21900161030595813,1,0.5102040816326531,0.6099584847046865
77,1,PARADIGM_BREAKER,AR,0.16666666666666666,0.21900161030595813,0,0.027777777777777776,0.047961705316602744
77,1,BOUNDARY_HUNTER,DIFFUSION,0.3333333333333333,0.21900161030595813,0,0.1111111111111111,0.047961705316602744
77,1,MEMORY_ANALYST,DIFFUSION,0.4074074074074074,0.21900161030595813,0,0.16598079561042522,0.047961705316602744
77,1,UNCERTAINTY_CARTOGRAPHER,AR,0.3409090909090909,0.21900161030595813,0,0.1162190082644628,0.047961705316602744
77,1,SHASE,DIFFUSION,0.4358974358974359,0.21900161030595813,1,0.31821170282708744,0.6099584847046865
77,1,ANOMALY_HUNTER,AR,0.07407407407407407,0.21900161030595813,0,0.0054869684499314125,0.047961705316602744
77,1,BLIND_SPOT_HUNTER,DIFFUSION,0.15,0.21900161030595813,0,0.0225,0.047961705316602744
77,1,RED_TEAM,AR,0.1111111111111111,0.21900161030595813,0,0.012345679012345678,0.047961705316602744
